C10	C_1812.fp	1µ	unknown	unknown	unknown	unknown	
C10	C_1812.fp	6.8µ	unknown	unknown	unknown	unknown	
C10	C_1812.fp	6.8µ	unknown	unknown	unknown	unknown	
C12	C_0805.fp	120p	unknown	unknown	unknown	unknown	
C12	C_0805.fp	180p	unknown	unknown	unknown	unknown	
C12	C_0805.fp	220p	unknown	unknown	unknown	unknown	
C1	C_RADIAL_400.fp	100n	Panasonic	ECQ-E6104KF	667-ECQ-E6104KF	unknown	
C1	C_RADIAL_400.fp	100n	Panasonic	ECQ-E6104KF	667-ECQ-E6104KF	unknown	
C1	C_RADIAL_400.fp	100n	Panasonic	ECQ-E6104KF	667-ECQ-E6104KF	unknown	
C20	C_0805.fp	18p	unknown	unknown	unknown	unknown	
C20	C_0805.fp	18p	unknown	unknown	unknown	unknown	
C20	C_0805.fp	18p	unknown	unknown	unknown	unknown	
C22	C_0805.fp	100n	unknown	unknown	unknown	unknown	
C22	C_0805.fp	DNP	unknown	unknown	unknown	unknown	
C22	C_0805.fp	DNP	unknown	unknown	unknown	unknown	
C23	C_0805.fp	100n	unknown	unknown	unknown	unknown	
C23	C_0805.fp	DNP	unknown	unknown	unknown	unknown	
C23	C_0805.fp	DNP	unknown	unknown	unknown	unknown	
C2	CP_CAN_SNAP.fp	10000µ	United Chemi-Con	ESMH500VNN103MA35T	661-ESMH500VNN103MA3	unknown	
C2	CP_CAN_SNAP.fp	1000µ	United Chemi-Con	ESMH251VNN102MA40T	661-ESMH251VNN102MA	unknown	
C2	CP_CAN_SNAP.fp	4700µ	United Chemi-Con	ESMH101VNN472MR50T	661-ESMH101VNN472MR5	unknown	
C3	CP_CAN_200.fp	470µ	Nichicon	UPW1H471MHD	647-UPW1H471MHD	unknown	
C3	CP_CAN_300.fp	100µ	Nichicon	UPW2E101MHD	647-UPW2E101MHD	unknown	
C3	CP_CAN_300.fp	220µ	Nichicon	UPW2A221MHD	647-UPW2A221MHD	unknown	
C40	C_0805.fp	100n	unknown	unknown	unknown	unknown	
C40	C_0805.fp	100n	unknown	unknown	unknown	unknown	
